,chip,month,score
2032,3c7a61b1,9,0.942
2033,3c7da387,10,0.949
2034,3c829b43,8,0.95
2035,3c833f19,8,0.977
2036,3c900324,4,0.945
2037,3c9b460b,9,0.961
2038,3c9fa27e,5,0.9299999999999999
2039,3ca51334,10,0.952
2040,3cb34d3e,8,0.954
2041,3cb5e1e7,5,0.914
2042,3cc1fa66,11,0.918
2043,3cc5da09,8,0.909
2044,3ccb137d,8,0.946
2045,3ccb1bed,10,0.9390000000000001
2046,3ccd2858,8,0.968
2047,3ccfcac5,7,0.881
2048,3cd67bb3,9,0.945
2049,3ce020fe,3,0.953
2050,3d0595d9,8,0.956
2051,3d2b417e,1,0.779
2052,3d3bb1e1,9,0.966
2053,3d443c48,8,0.947
2054,3d6bbf6a,9,0.968
2055,3d6e2895,8,0.798
2056,3d715d11,8,0.979
2057,3d80dc63,9,0.912
2058,3d81088f,0,0.69
2059,3d83c7cf,11,0.687
2060,3d8654dc,7,0.965
2061,3d8a588b,11,0.99
2062,3d917c72,2,0.974
2063,3d91974f,9,0.967
2064,3d927d60,7,0.9359999999999999
2065,3d92ead9,9,0.951
2066,3d9aa256,8,0.965
2067,3dadddf4,7,0.977
2068,3db64bde,2,0.974
2069,3dbd8016,8,0.974
2070,3dd26b0e,7,0.975
2071,3ddd8980,4,0.938
2072,3de1eee3,9,0.978
2073,3de50bef,0,0.951
2074,3df541d5,9,0.962
2075,3e084ff3,7,0.978
2076,3e0e7471,1,0.946
2077,3e227d38,4,0.923
2078,3e398cfe,8,0.92
2079,3e3ca84c,0,0.958
2080,3e4083e7,8,0.969
2081,3e448cab,10,0.974
2082,3e4eba43,6,0.802
2083,3e4f22b4,10,0.963
2084,3e587454,9,0.998
2085,3e59e4c2,9,0.964
2086,3e60d5b7,8,0.96
2087,3e656753,8,0.9410000000000001
2088,3e664bc1,8,0.982
2089,3e69bea5,8,0.96
2090,3e773f07,8,0.966
2091,3e89520f,9,0.954
2092,3e92f8b5,7,0.918
2093,3ea060fc,2,0.978
2094,3ea8b964,7,0.973
2095,3eb6d001,9,0.976
2096,3ebc3f80,7,0.922
2097,3ec56f19,7,0.9410000000000001
2098,3ecb1cea,9,0.9390000000000001
2099,3ed7ab4e,9,0.972
2100,3ed7f7eb,5,0.94
2101,3edf6904,9,0.922
2102,3ee0afc1,11,0.97
2103,3ee15830,0,0.952
2104,3ee366e4,8,0.95
2105,3eeffa8a,8,0.944
2106,3ef07a1c,2,0.948
2107,3ef1ca72,9,0.9359999999999999
2108,3efcec97,0,0.921
2109,3efefb8f,0,0.952
2110,3f0acb13,7,0.973
2111,3f0cdf0e,11,0.955
2112,3f0f61ea,0,0.931
2113,3f101582,9,0.926
2114,3f106ab9,8,0.96
2115,3f16f550,7,0.9319999999999999
2116,3f2e01a6,9,0.9299999999999999
2117,3f37ed1a,5,0.978
2118,3f3c2a5e,0,0.954
2119,3f3f3982,7,0.912
2120,3f423d5d,10,0.905
2121,3f55ebf7,8,0.913
2122,3f56d3a1,2,0.905
2123,3f5bfa44,8,0.956
2124,3f5cd364,6,0.896
2125,3f639fed,8,0.974
2126,3f6a3a6f,9,0.956
2127,3f6f2593,8,0.954
2128,3f7440eb,9,0.97
2129,3f858b6e,7,0.9339999999999999
2130,3f8f6ebe,7,0.928
2131,3f91c6af,10,0.958
2132,3f94776d,5,0.95
2133,3f94ce9d,11,0.959
2134,3f97bcee,1,0.97
2135,3f98f3ce,10,0.954
2136,3f9cc4d1,3,0.97
2137,3fa7a239,7,0.977
2138,3fabee22,9,0.907
2139,3fb07261,7,0.938
2140,3fbc9084,8,0.961
2141,3fca9ea6,11,0.942
2142,3fd080a9,9,0.946
2143,3fd863ed,0,0.91
2144,3fe17435,7,0.957
2145,3fe3dc5a,8,0.965
2146,3fe599bd,9,0.942
2147,3fe7adf3,10,0.946
2148,3fee73a1,8,0.976
2149,3ff95cac,8,0.944
2150,40073991,1,0.924
2151,400da71a,7,0.935
2152,401b6970,11,0.964
2153,4024f6a0,0,0.922
2154,40281e9e,0,0.973
2155,402976a1,9,0.955
2156,402e7cf6,7,0.962
2157,4041dfeb,6,0.911
2158,40441221,9,0.962
2159,404571ba,8,0.922
2160,4045c33d,8,0.954
2161,4058e7ff,8,0.917
2162,406cbaf4,8,0.9299999999999999
2163,40754371,8,0.975
2164,4079f0fa,9,0.978
2165,4086155d,9,0.967
2166,4088a3d8,6,0.978
2167,408f496e,1,0.931
2168,40a1c7a1,0,0.967
2169,40a6b281,9,0.945
2170,40ad8ced,8,0.954
2171,40b50fd1,0,0.928
2172,40b6128d,8,0.962
2173,40b78e2a,9,0.935
2174,40c60467,10,0.9339999999999999
2175,40cd949c,7,0.974
2176,40d80a04,9,0.921
2177,40dc5dcc,6,0.908
2178,40dedb6a,9,0.996
2179,40ed4937,5,0.911
2180,40f6838d,8,0.963
2181,40f904e8,7,0.951
2182,40fde08e,0,0.9299999999999999
2183,40fe1f22,8,0.973
2184,4106986f,10,0.61
2185,4107c686,8,0.832
2186,412b481a,8,0.928
2187,41341ab4,8,0.924
2188,4135f989,9,0.949
2189,4140386a,7,0.974
2190,4144a6ac,8,0.987
2191,414a1956,11,0.966
2192,414eab84,0,0.957
2193,4155e20f,4,0.954
2194,4169666c,0,0.989
2195,4171f6ff,9,0.975
2196,417cf113,11,0.955
2197,41873b53,9,0.915
2198,41892129,8,0.948
2199,418bb2c8,9,0.962
2200,41a2369c,7,0.909
2201,41a6fdf4,8,0.956
2202,41c29144,8,0.912
2203,41c58b60,4,0.863
2204,41ccaa73,8,0.966
2205,41dbfaed,9,0.946
2206,41f4b253,11,0.966
2207,41f5dfbd,10,0.948
2208,4209a502,9,0.9359999999999999
2209,420d9905,10,0.949
2210,4212b71d,4,0.945
2211,42138c5e,9,0.96
2212,4219840d,9,0.919
2213,42252aa2,10,0.917
2214,4225f957,7,0.942
2215,422f376b,10,0.957
2216,4235d67c,8,0.956
2217,4236bb10,7,0.915
2218,4245e159,9,0.977
2219,424b6a4f,8,0.94
2220,42587bf5,0,0.724
2221,425befdf,5,0.944
2222,4268ea71,8,0.991
2223,42784032,8,0.944
2224,428dc018,8,0.906
2225,429526aa,10,0.967
2226,4297297b,1,0.976
2227,429e5bca,8,0.902
2228,42a52fa9,9,0.911
2229,42a8a441,7,0.987
2230,42b5ac06,9,0.913
2231,42b64b34,10,0.953
2232,42b873cf,7,0.954
2233,42baa73b,2,0.948
2234,42bd8067,8,0.99
2235,42bf3570,7,0.923
2236,42d10eb5,8,0.984
2237,42e51f70,8,0.904
2238,42e60254,8,0.97
2239,42e6ff0f,0,0.964
2240,42f5eaba,4,0.985
2241,42fbced2,8,0.979
2242,4301391f,9,0.957
2243,43026810,2,0.274
2244,4317a3e0,7,0.952
2245,43228b93,9,0.944
2246,43288b47,4,0.84
2247,43396963,0,0.958
2248,433cb525,3,0.96
2249,433d1d24,8,0.968
2250,433e3dd6,9,0.956
2251,43481cbb,8,0.945
2252,4349e613,6,0.942
2253,4363d4be,0,0.952
2254,436a4440,9,0.908
2255,436c7c16,8,0.923
2256,436d1270,2,0.873
2257,436d32bb,9,0.988
2258,43738184,2,0.985
2259,437471c0,8,0.9410000000000001
2260,437f132f,7,0.969
2261,4384f1eb,4,0.978
2262,439247e7,0,0.912
2263,4393c7c8,11,0.946
2264,4393faa3,0,0.986
2265,439b9ac9,8,0.963
2266,43aa70a2,10,0.951
2267,43c17e8b,8,0.949
2268,43c91435,8,0.96
2269,43cbeab1,5,0.795
2270,43d1bb0f,8,0.957
2271,43d681f2,11,0.92
2272,43dae5e2,10,0.954
2273,43e2b7be,9,0.9359999999999999
2274,43f046e9,3,0.868
2275,43f719cc,8,0.98
2276,43f98318,0,0.954
2277,43fb066a,8,0.956
2278,44029146,2,0.95
2279,4408e972,8,0.967
2280,44091292,11,0.972
2281,4419577e,8,0.975
2282,441d0238,4,0.965
2283,44248a6c,7,0.942
2284,4433979f,7,0.952
2285,4435b6d0,7,0.956
2286,443e8e66,4,0.914
2287,44488db9,1,0.919
2288,44516e8c,9,0.958
2289,445e22c2,9,0.945
2290,445f51be,10,0.974
2291,445fe815,8,0.954
2292,4461b6f5,9,0.964
2293,446b58c8,0,0.964
2294,446e1881,0,0.9410000000000001
2295,44739687,7,0.961
2296,4497468f,9,0.954
2297,4497aa39,7,0.987
2298,44992f80,10,0.9359999999999999
2299,44ab1be0,7,0.957
2300,44ad41fe,8,0.96
2301,44afa366,7,0.982
2302,44bdcbcc,9,0.944
2303,44c1e0c6,0,0.9410000000000001
2304,44c38b32,7,0.772
2305,44d0a7f1,8,0.937
2306,44d3d930,11,0.979
2307,44d6ea56,8,0.984
2308,44d9b4fd,8,0.964
2309,44dec881,7,0.959
2310,4507bbbf,9,0.96
2311,450c0d79,10,0.959
2312,451348aa,9,0.943
2313,45282a9c,11,0.952
2314,452d2f39,0,0.963
2315,45386ff6,8,0.983
2316,45419504,1,0.776
2317,454f30ea,8,0.956
2318,4566bc2d,0,0.931
2319,4576af7b,8,0.958
2320,4583cd81,9,0.962
2321,458541ea,9,0.921
2322,459059d9,2,0.958
2323,4595055c,7,0.954
2324,45a1d72f,10,0.976
2325,45a3750e,8,0.962
2326,45a49e63,10,0.984
2327,45a750e2,0,0.915
2328,45ad12f6,7,0.949
2329,45bbbdbf,8,0.954
2330,45be533b,0,0.907
2331,45c2b1b6,7,0.968
2332,45c5ce4e,8,0.952
2333,45c699eb,0,0.965
2334,45d54971,8,0.979
2335,45d5a72e,0,0.925
2336,45d8093e,10,0.982
2337,45e009f3,8,0.922
2338,45e253e2,9,0.935
2339,45ead40e,8,0.92
2340,45f4dff5,10,0.983
2341,45fb7068,8,0.921
2342,4602ada5,8,0.935
2343,460a7643,0,0.615
2344,46108a8a,7,0.982
2345,4611aa55,8,0.977
2346,4618c2da,7,0.956
2347,461cedae,3,0.898
2348,462b919f,5,0.916
2349,462e7539,8,0.984
2350,4638c127,7,0.9359999999999999
2351,46427bf4,8,0.976
2352,46450933,5,0.979
2353,4645a6e4,9,0.975
2354,46471e86,11,0.986
2355,4668bfe6,9,0.945
2356,467130bd,0,0.942
2357,467d1c5e,8,0.971
2358,467fd450,9,0.953
2359,46899a4f,11,0.988
2360,468f17b8,8,0.952
2361,4692563f,7,0.971
2362,46a18265,9,0.992
2363,46aacb73,8,0.919
2364,46aba72c,10,0.973
2365,46b1088c,2,0.974
2366,46b913de,3,0.935
2367,46bbb89c,9,0.963
2368,46c420a9,8,0.966
2369,46c47554,9,0.951
2370,46ca4055,9,0.956
2371,46cc7b61,7,0.974
2372,46d00abc,0,0.975
2373,46d1fe79,10,0.963
2374,46e3b829,9,0.974
2375,46ea0d52,8,0.951
2376,46f4332d,7,0.955
2377,470864c8,8,0.953
2378,470b00e2,9,0.959
2379,4710730c,9,0.923
2380,471760f4,9,0.938
2381,4723c0dc,1,0.986
2382,4741007f,8,0.978
2383,475474c4,7,0.954
2384,475e03f0,10,0.895
2385,476b4b9e,7,0.937
2386,476ffe21,0,0.962
2387,477c3997,8,0.969
2388,4785307f,4,0.894
2389,478732b0,9,0.863
2390,478e12c2,1,0.919
2391,478ea4df,0,0.945
2392,4790ee95,9,0.944
2393,479938e1,9,0.98
2394,47be6b53,7,0.838
2395,47be8408,5,0.95
2396,47c17292,10,0.961
2397,47c27abb,9,0.974
2398,47c6be30,8,0.958
2399,47d1b790,5,0.905
2400,47e90bb4,10,0.96
2401,47ea627f,6,0.844
2402,47f80ee5,7,0.969
2403,47ff4523,8,0.967
2404,4803a402,0,0.926
2405,4805c945,0,0.884
2406,4811bd19,8,0.963
2407,4813511a,8,0.857
2408,48160bdb,7,0.863
2409,48209547,0,0.973
2410,48232773,9,0.971
2411,482bc2f9,9,0.959
2412,482fbb62,9,0.959
2413,483dcc75,10,0.92
2414,4847ed33,8,0.944
2415,484dd557,5,0.977
2416,4852ef1e,8,0.974
2417,48656349,8,0.95
2418,4865e48d,9,0.965
2419,48697010,8,0.96
2420,486c3ad0,10,0.97
2421,486c742b,9,0.961
2422,486d18ff,8,0.959
2423,487352ff,8,0.942
2424,48749d89,9,0.961
2425,4876a672,8,0.966
2426,487759a6,7,0.968
2427,4877a82c,7,0.978
2428,4878f9cd,0,0.92
2429,487f3afe,9,0.961
2430,4883fda1,4,0.9410000000000001
2431,488fd059,9,0.911
2432,48910077,9,0.883
2433,4894d6c1,7,0.9410000000000001
2434,4899ae4b,8,0.959
2435,489e89d5,5,0.885
2436,489f214f,0,0.963
2437,48a4cace,10,0.955
2438,48b94dd6,9,0.965
2439,48bf8975,6,0.878
2440,48bfa2d4,7,0.965
2441,48c13286,7,0.961
2442,48c27a50,8,0.956
2443,48c77d83,0,0.882
2444,48ccea46,4,0.845
2445,48d251d0,8,0.951
2446,48dcaf51,7,0.955
2447,48e9a33d,6,0.893
2448,48ee7c9f,0,0.9299999999999999
2449,48efcc11,11,0.486
2450,48f66fe6,8,0.956
2451,4905177d,8,0.916
2452,490fb911,7,0.956
2453,492c662e,8,0.947
2454,4936b2a0,5,0.981
2455,493eb6f4,9,0.96
2456,494083cb,8,0.928
2457,49411598,9,0.7030000000000001
2458,49469d57,7,0.931
2459,4951bfd3,10,0.955
2460,49557739,11,0.97
2461,49695022,10,0.97
2462,496e7cde,8,0.967
2463,497b4585,9,0.903
2464,497b7d5f,6,0.891
2465,497db42b,6,0.958
2466,49852b16,0,0.98
2467,49893cc2,2,0.851
2468,4989ac26,8,0.962
2469,49902696,10,0.926
2470,4999304b,8,0.943
2471,499b075f,10,0.956
2472,49a45b5a,7,0.958
2473,49a5d975,3,0.842
2474,49a613a9,0,0.973
2475,49a82e19,9,0.952
2476,49aa10ab,0,0.918
2477,49abd286,11,0.882
2478,49b4a985,2,0.967
2479,49c61083,7,0.925
2480,49c9a8f8,5,0.888
2481,49ca058e,9,0.965
2482,49cec594,10,0.964
2483,49e88799,8,0.956
2484,49ef2836,8,0.96
2485,49f00d7b,8,0.947
2486,4a262415,9,0.942
2487,4a298b48,0,0.909
2488,4a2a76f7,8,0.9299999999999999
2489,4a2ecf26,8,0.9299999999999999
2490,4a34295b,7,0.97
2491,4a361f0b,2,0.962
2492,4a374c1a,10,0.913
2493,4a3a4a14,8,0.995
2494,4a408699,8,0.917
2495,4a50059a,8,0.94
2496,4a574f23,7,0.639
2497,4a6067b0,8,0.974
2498,4a6680c1,7,0.924
2499,4a6e2db9,7,0.962
2500,4a7c9451,11,0.965
2501,4a81cccd,10,0.988
2502,4a8476d7,10,0.924
2503,4a89a571,8,0.905
2504,4a91b6fd,10,0.998
2505,4a96b2a7,6,0.96
2506,4aa3f794,8,0.963
2507,4aa639ec,8,0.952
2508,4aad0c6e,2,0.875
2509,4abb5df5,8,0.947
2510,4abdf19f,9,0.967
2511,4abeab14,9,0.903
2512,4ade1432,7,0.959
2513,4ae8ba78,8,0.919
2514,4aeca8e3,8,0.954
2515,4aefa4c5,8,0.962
2516,4afe30d7,8,0.944
2517,4b0eedce,10,0.962
2518,4b159655,7,0.964
2519,4b181c15,8,0.966
2520,4b236c3f,10,0.986
2521,4b342ceb,7,0.959
2522,4b3542ba,9,0.962
2523,4b66b4f7,7,0.958
2524,4b6ad2ed,8,0.957
2525,4b8170e2,3,0.946
2526,4b8d1dfd,7,0.964
2527,4b8ed3ed,8,0.957
2528,4b959c50,5,0.954
2529,4ba26626,0,0.955
2530,4ba93143,1,0.986
2531,4bae0cde,0,0.973
2532,4baf52b5,9,0.964
2533,4bbfa883,9,0.9299999999999999
2534,4bc0c457,8,0.988
2535,4bc822fc,6,0.977
2536,4bc9f13e,7,0.91
2537,4bd1c588,1,0.746
2538,4bd91a9a,8,0.925
2539,4bf322eb,8,0.988
2540,4bfeeada,9,0.967
2541,4c01fb8e,8,0.942
2542,4c042d49,7,0.974
2543,4c05ae93,8,0.96
2544,4c0f1700,0,0.937
2545,4c1b37f8,10,0.988
2546,4c215f38,8,0.944
2547,4c268cf7,11,0.925
2548,4c2744cb,8,0.968
2549,4c2bb652,1,0.949
2550,4c2c9093,8,0.969
2551,4c2da063,7,0.935
2552,4c2e2f1b,6,0.887
2553,4c2f6bf0,9,0.962
2554,4c33c5ff,10,0.916
2555,4c36428a,0,0.938
2556,4c380d32,8,0.94
2557,4c3bb7b5,7,0.943
2558,4c3cc3ab,9,0.957
2559,4c3fe35e,8,0.981
2560,4c44b2c2,8,0.951
2561,4c4c175f,0,0.966
2562,4c5cc96b,4,0.954
2563,4c643aef,0,0.974
2564,4c6887b8,8,0.954
2565,4c68eadb,8,0.962
2566,4c700933,8,0.959
2567,4c744a9a,1,0.921
2568,4c837377,8,0.938
2569,4c9327a1,8,0.948
2570,4caa3693,10,0.925
2571,4caf3b01,8,0.9359999999999999
2572,4cb57ce4,10,0.905
2573,4cbc9aeb,9,0.985
2574,4cbfb180,4,0.954
2575,4cbfbf43,8,0.918
2576,4ccb29f0,8,0.907
2577,4ccd4ae1,4,0.976
2578,4cd74f27,2,0.963
2579,4cfa5146,10,0.981
2580,4d108804,8,0.982
2581,4d1c1e27,9,0.927
2582,4d26c396,7,0.972
2583,4d27a2c8,0,0.961
2584,4d434e54,8,0.966
2585,4d44a82d,5,0.918
2586,4d49988c,8,0.954
2587,4d4ec134,9,0.965
2588,4d56fd82,8,0.952
2589,4d71e82a,4,0.97
2590,4d731b1e,11,0.922
2591,4d7400b5,5,0.909
2592,4d8000e5,9,0.915
2593,4d848a10,0,0.953
2594,4d94cb55,11,0.917
2595,4da1018e,3,0.955
2596,4da1ea29,9,0.967
2597,4db3bcb3,8,0.961
2598,4dc06728,9,0.958
2599,4dc4a200,0,0.978
2600,4dc73c82,11,0.921
2601,4ddb3170,9,0.977
2602,4de76d25,11,0.953
2603,4deaa04a,9,0.955
2604,4df45c4f,0,0.967
2605,4e00ccfd,9,0.927
2606,4e05d857,4,0.924
2607,4e07980e,7,0.96
2608,4e07e195,9,0.952
2609,4e082fed,9,0.966
2610,4e165d25,9,0.945
2611,4e1c339d,11,0.952
2612,4e2959c2,9,0.92
2613,4e2c402b,8,0.97
2614,4e2e817b,8,0.963
2615,4e2f154d,7,0.963
2616,4e34a0a1,9,0.981
2617,4e3612ce,8,0.978
2618,4e3e2a6c,10,0.957
2619,4e42903e,2,0.6679999999999999
2620,4e48a7d7,8,0.984
2621,4e4e2a74,10,0.959
2622,4e534bfa,5,0.97
2623,4e53b036,8,0.931
2624,4e54622e,8,0.9339999999999999
2625,4e5d4d74,8,0.981
2626,4e5e5e57,7,0.954
2627,4e7093ba,4,0.958
2628,4e92f479,8,0.916
2629,4e971fe6,8,0.947
2630,4ea004e3,8,0.908
2631,4ea96d05,5,0.898
2632,4eaf8469,0,0.946
2633,4eb66589,8,0.938
2634,4eb6802b,9,0.96
2635,4ebab6c8,9,0.977
2636,4ec1448a,5,0.96
2637,4ec27832,0,0.979
2638,4ec658dc,7,0.917
2639,4ed0d1fc,10,0.963
2640,4ed45eb8,8,0.924
2641,4ed9893c,10,0.9299999999999999
2642,4edfc3a3,8,0.946
2643,4ee48efc,7,0.962
2644,4ee7384e,8,0.974
2645,4efacaf9,4,0.972
2646,4efb723e,7,0.957
2647,4efe5ed2,8,0.955
2648,4f019631,10,0.927
2649,4f15f571,3,0.978
2650,4f1cdf46,8,0.91
2651,4f2d6206,7,0.937
2652,4f349d09,8,0.953
2653,4f3e652c,8,0.937
2654,4f48224d,8,0.956
2655,4f48dfa8,4,0.935
2656,4f4e01da,8,0.967
2657,4f4f662f,7,0.772
2658,4f51d600,0,0.964
2659,4f52f9de,9,0.946
2660,4f59e5c9,10,0.919
2661,4f5f2160,0,0.953
2662,4f631724,8,0.913
2663,4f663b2e,10,0.928
2664,4f6a518a,9,0.948
2665,4f77110d,8,0.97
2666,4f7d675a,8,0.961
2667,4f81a448,0,0.959
2668,4f851118,9,0.963
2669,4f8f05ad,8,0.919
2670,4f91d28d,8,0.928
2671,4f949c0e,10,0.964
2672,4f95fe22,9,0.962
2673,4f99566d,9,0.962
2674,4fa54ecf,8,0.965
2675,4faaec59,6,0.908
2676,4fbb1270,9,0.944
2677,4fe2f9f9,7,0.931
2678,4ffe9e89,1,0.927
2679,50022327,10,0.965
2680,5006b266,0,0.9
2681,5009ae88,8,0.962
2682,5014407d,7,0.953
2683,5017a571,8,0.94
2684,501adf4f,9,0.963
2685,50270021,9,0.989
2686,5029b107,1,0.935
2687,502ba4e4,9,0.906
2688,502cfb44,7,0.389
2689,50312913,1,0.991
2690,503378f3,9,0.95
2691,5033fe2c,9,0.964
2692,50352979,0,0.962
2693,503b5177,9,0.92
2694,503f6d3d,0,0.982
2695,5040d776,9,0.974
2696,50478281,11,0.901
2697,504e9d1e,0,0.8109999999999999
2698,5054c8f6,10,0.957
2699,5056c882,1,0.947
2700,505701ec,8,0.961
2701,506e3e4a,7,0.948
2702,509b9c21,8,0.964
2703,509e4dbf,11,0.965
2704,50a1dcb7,8,0.953
2705,50a6a899,10,0.97
2706,50ad7c5b,9,0.919
2707,50b2fcde,8,0.975
2708,50b6ca9d,8,0.996
2709,50b952e1,9,0.992
2710,50bb920e,8,0.964
2711,50c3429d,8,0.985
2712,50db2bd1,8,0.92
2713,50dcdd3f,3,0.9390000000000001
2714,50e1e66d,11,0.964
2715,50f96933,8,0.948
2716,50fa8619,11,0.922
2717,50fe0a1f,9,0.959
2718,5106454d,8,0.918
2719,51090d99,8,0.92
2720,51241122,1,0.888
2721,51257d6c,9,0.961
2722,512ef0be,9,0.929
2723,5131dcf3,8,0.919
2724,513e57b2,11,0.951
2725,5141322c,9,0.965
2726,51583268,7,0.906
2727,516785e8,1,0.951
2728,5169f13d,7,0.995
2729,516b2e91,8,0.974
2730,516cc028,5,0.957
2731,51728406,5,0.967
2732,5182e7db,7,0.946
2733,51890d85,10,0.963
2734,51b6800c,10,0.984
2735,51b75e20,8,0.951
2736,51ca7b99,7,0.955
2737,51d234ae,8,0.995
2738,51d53971,11,0.915
2739,51d93376,9,0.979
2740,51dc78d3,8,0.95
2741,51e1db4f,9,0.988
2742,51e245a8,9,0.957
2743,51f12477,7,0.916
2744,520200a0,0,0.954
2745,5209306d,7,0.9299999999999999
2746,520b28e3,10,0.987
2747,520eeb54,11,0.99
2748,5210320c,10,0.273
2749,521e0fe7,0,0.943
2750,5228e21d,8,0.953
2751,522a5ee6,0,0.918
2752,522ca516,7,0.961
2753,52343e5a,8,0.962
2754,52388b34,8,0.931
2755,52514952,10,0.991
2756,52558579,8,0.906
2757,525bb92e,2,0.955
2758,526b95e5,9,0.964
2759,526ef3bd,0,0.935
2760,5273ccbe,8,0.949
2761,52796af6,10,0.917
2762,5283a848,0,0.943
2763,5284768d,8,0.94
2764,52858760,8,0.988
2765,5285cfd2,8,0.901
2766,528901fc,0,0.864
2767,5291a9df,8,0.946
2768,5294c4a7,4,0.763
2769,52953c9a,9,0.961
2770,5299d3bf,11,0.969
2771,52a7360d,3,0.952
2772,52a84c5a,4,0.907
2773,52b1d478,2,0.671
2774,52b51a6d,8,0.974
2775,52b61aa4,11,0.956
2776,52b68f9f,9,0.964
2777,52bd8dd9,8,0.944
2778,52d4b426,7,0.8140000000000001
2779,52dab989,8,0.913
2780,52de3fbe,5,0.967
2781,52e1d361,10,0.953
2782,52e56fd7,7,0.914
2783,52f0ea60,8,0.987
2784,52f2b7a1,9,0.95
2785,52f48bda,7,0.956
2786,52f8b1a0,0,0.823
2787,52fc4b30,8,0.959
2788,5302c05a,0,0.968
2789,53095eac,4,0.911
2790,53102c1e,9,0.863
2791,5314a294,9,0.988
2792,53190565,9,0.945
2793,531965df,8,0.968
2794,532a13ca,8,0.961
2795,53313913,9,0.9319999999999999
2796,533c14e4,5,0.887
2797,533d3ca4,0,0.963
2798,534539a2,7,0.953
2799,53514e68,2,0.947
2800,5351ff3e,10,0.952
2801,5352ace9,0,0.963
2802,535a4670,10,0.98
2803,5372d691,7,0.964
2804,5374e3e1,8,0.964
2805,53771de5,8,0.965
2806,5379604b,9,0.988
2807,537f2249,11,0.9299999999999999
2808,5396004d,8,0.956
2809,539af514,7,0.982
2810,539f369f,7,0.929
2811,53b4e229,7,0.993
2812,53ba7024,10,0.91
2813,53cc4958,8,0.952
2814,53d88292,5,0.922
2815,53e93b9f,8,0.971
2816,53ebd040,10,0.963
2817,53f78be8,7,0.997
2818,53febcb2,11,0.902
2819,5400b6c7,8,0.955
2820,54054b63,7,0.931
2821,540681f3,4,0.844
2822,54085657,7,0.947
2823,541d6d32,8,0.963
2824,5428ba1b,10,0.915
2825,54295bdf,0,0.979
2826,542e88e7,1,0.965
2827,543585f7,11,0.966
2828,54389ec2,8,0.958
2829,5442d1d0,9,0.917
2830,54481bc6,8,0.912
2831,544f9d7d,9,0.942
2832,545fffcb,11,0.988
2833,547806f3,5,0.946
2834,547c803a,0,0.911
2835,547decc6,9,0.919
2836,54812e2a,10,0.904
2837,548e3296,10,0.956
2838,54964462,8,0.909
2839,54a84b0c,10,0.962
2840,54bc9277,9,0.929
2841,54c52bec,8,0.975
2842,54ce411e,8,0.919
2843,54d9f1fa,10,0.923
2844,54db0708,7,0.928
2845,54e0766a,9,0.955
2846,54e46809,8,0.949
2847,54f70d6c,8,0.894
2848,55041ffd,7,0.961
2849,550f9800,8,0.963
2850,551a3757,9,0.968
2851,551fa016,9,0.974
2852,5521a4ea,1,0.981
2853,55342174,11,0.911
2854,5535580b,8,0.927
2855,55390d2c,7,0.9319999999999999
2856,5540b5f2,1,0.361
2857,5544f69b,4,0.762
2858,5549a5f1,10,0.868
2859,554ed1e7,8,0.996
2860,55628ff0,8,0.956
2861,556c970c,9,0.942
2862,55774706,0,0.971
2863,55859646,8,0.921
2864,5589401a,8,0.921
2865,5589d381,8,0.965
2866,558a3569,4,0.906
2867,55934a27,0,0.96
2868,559fb870,9,0.951
2869,55a14920,8,0.905
2870,55a896f3,7,0.978
2871,55b5ee21,5,0.889
2872,55bf8168,10,0.963
2873,55c1e6c2,9,0.961
2874,55cb218e,8,0.984
2875,55d48e54,3,0.972
2876,55dcd434,0,0.97
2877,55e2c53c,1,0.946
2878,55e9ff65,7,0.956
2879,55ef592c,10,0.982
2880,55f08b33,0,0.937
2881,55f1937c,8,0.964
2882,55faa971,5,0.89
2883,560d3c21,9,0.929
2884,561ada71,8,0.913
2885,561b866f,8,0.9410000000000001
2886,5621aa3b,8,0.959
2887,56274ceb,9,0.957
2888,562c8385,10,0.96
2889,562d07cb,7,0.967
2890,56400043,9,0.959
2891,56402961,7,0.955
2892,564a16cb,7,0.969
2893,564e35fe,8,0.975
2894,5656881e,3,0.977
2895,565e7d10,9,0.962
2896,5662f665,9,0.991
2897,566d4c1e,0,0.908
2898,56881e3f,8,0.982
2899,5694599d,9,0.946
2900,56951fe6,10,0.952
2901,56964c98,9,0.94
2902,5698f8d7,7,0.916
2903,56a42bdc,7,0.973
2904,56a6da70,8,0.988
2905,56a7ae4a,7,0.974
2906,56a8c64c,1,0.9410000000000001
2907,56abbed2,8,0.98
2908,56ac3ec6,9,0.974
2909,56ac6168,5,0.9339999999999999
2910,56ad26ee,11,0.9319999999999999
2911,56aed7a3,7,0.976
2912,56b558dc,9,0.953
2913,56c0cfb7,5,0.953
2914,56cf779f,9,0.967
2915,56d2d95b,8,0.92
2916,56d2f4cc,8,0.975
2917,56dd88be,11,0.916
2918,56df7666,8,0.965
2919,56f1f3d9,9,0.982
2920,5700767c,2,0.947
2921,57039896,2,0.885
2922,57040c98,8,0.927
2923,5709b2f4,1,0.925
2924,571c5317,5,0.969
2925,572306c5,3,0.952
2926,5727bd18,8,0.958
2927,572814e5,7,0.914
2928,572c8e15,9,0.927
2929,572cd4af,7,0.952
2930,57486198,7,0.9299999999999999
2931,574db45b,1,0.913
2932,57529412,9,0.961
2933,5758ff05,9,0.906
